iter	RMSE
0	10181.11509
1	9798.837288
2	9466.03992
3	9150.848156
4	8866.63806
5	8609.793141
6	8379.779504
7	8171.68958
8	7987.013559
9	7820.299564
10	7658.468851
11	7518.503188
12	7377.788701
13	7260.452187
14	7146.99031
15	7045.906033
16	6953.274305
17	6873.199398
18	6794.583004
19	6726.379008
20	6661.390114
21	6597.845058
22	6537.944401
23	6487.159279
24	6434.860969
25	6392.864381
26	6353.84278
27	6312.586956
28	6276.607584
29	6241.021423
30	6207.625161
31	6179.111216
32	6154.160815
33	6129.972675
34	6106.503335
35	6081.373219
36	6059.567809
37	6041.988458
38	6022.229053
39	6004.914004
40	5987.97714
41	5969.402986
42	5953.840885
43	5939.51574
44	5926.150307
45	5910.053754
46	5896.217152
47	5882.885602
48	5871.57022
49	5858.887853
50	5846.224844
51	5831.024288
52	5817.070502
53	5806.442439
54	5796.565476
55	5782.702025
56	5773.073739
57	5762.831473
58	5754.631778
59	5743.953574
60	5736.520809
61	5726.77613
62	5714.096111
63	5704.159281
64	5693.008864
65	5682.55539
66	5671.211909
67	5662.27774
68	5653.702763
69	5642.488076
70	5632.928461
71	5625.574966
72	5617.751567
73	5611.135231
74	5601.421468
75	5595.12739
76	5587.206777
77	5578.589717
78	5571.349206
79	5564.042467
80	5556.613802
81	5550.962321
82	5544.660843
83	5538.191045
84	5533.553122
85	5527.671889
86	5523.045611
87	5517.682825
88	5511.319559
89	5503.374966
90	5499.051307
91	5494.16541
92	5485.87246
93	5480.938112
94	5471.885571
95	5466.670515
96	5461.651725
97	5458.256813
98	5453.676539
99	5449.022117
100	5441.884923
101	5437.522424
102	5431.266016
103	5424.1865
104	5417.146228
105	5412.713116
106	5409.941586
107	5404.558903
108	5400.53623
109	5397.852801
110	5394.178918
111	5388.394967
112	5378.070427
113	5374.516745
114	5370.880896
115	5366.486872
116	5359.83864
117	5354.513465
118	5349.52975
119	5343.225481
120	5339.086535
121	5334.107323
122	5330.590498
123	5326.400551
124	5321.620621
125	5318.223626
126	5310.801996
127	5308.126497
128	5304.092571
129	5300.088617
130	5294.444464
131	5292.315094
132	5289.77431
133	5286.787673
134	5284.570038
135	5278.626583
136	5276.822417
137	5273.685043
138	5267.86354
139	5263.297462
140	5260.664787
141	5258.438711
142	5254.49483
143	5251.953685
144	5250.256406
145	5245.257842
146	5240.91459
147	5238.067259
148	5235.847153
149	5231.949668
150	5224.194928
151	5221.551598
152	5215.979494
153	5212.792961
154	5207.615229
155	5204.385134
156	5198.58917
157	5195.291891
158	5191.375731
159	5186.816842
160	5182.693758
161	5179.801491
162	5174.765447
163	5170.112466
164	5167.164632
165	5164.59776
166	5160.294251
167	5155.058984
168	5152.957338
169	5150.238613
170	5145.193751
171	5141.12295
172	5139.830215
173	5135.834823
174	5132.072863
175	5128.41704
176	5126.595197
177	5122.346074
178	5119.973029
179	5117.419586
180	5114.568142
181	5109.976631
182	5108.637624
183	5105.492157
184	5100.129127
185	5098.28147
186	5096.994791
187	5094.115731
188	5089.259185
189	5085.510178
190	5083.712226
191	5080.657657
192	5077.669188
193	5075.258567
194	5072.060219
195	5067.801406
196	5066.193492
197	5062.572047
198	5060.792777
199	5057.559489
200	5055.077657
201	5052.971133
202	5050.770466
203	5047.151112
204	5044.965128
205	5042.454492
206	5038.393893
207	5036.245335
208	5034.639603
209	5031.85898
210	5028.478078
211	5025.916611
212	5022.313317
213	5021.438234
214	5018.503365
215	5015.66692
216	5013.07462
217	5008.552938
218	5005.540939
219	5000.464186
220	4998.398644
221	4995.073907
222	4991.420069
223	4987.934276
224	4983.096856
225	4980.692458
226	4978.086802
227	4974.248599
228	4970.820108
229	4968.418928
230	4966.044272
231	4963.580262
232	4962.5988
233	4959.009876
234	4957.501819
235	4955.483126
236	4951.309513
237	4948.802033
238	4943.950403
239	4941.211447
240	4940.118828
241	4937.404563
242	4934.499792
243	4930.453717
244	4926.256694
245	4922.630358
246	4920.673404
247	4918.350098
248	4917.170353
249	4914.168547
250	4911.403231
251	4910.63765
252	4908.363064
253	4905.27915
254	4904.279358
255	4900.606441
256	4898.961409
257	4896.080935
258	4892.064191
259	4889.041858
260	4884.522676
261	4881.606398
262	4880.01256
263	4879.880073
264	4877.834474
265	4874.287279
266	4871.257253
267	4869.186873
268	4867.10198
269	4865.630589
270	4865.536361
271	4862.557357
272	4860.441699
273	4858.65956
274	4858.544067
275	4856.680501
276	4853.108877
277	4850.050727
278	4848.102489
279	4844.850114
280	4842.812794
281	4839.709695
282	4837.434678
283	4835.15179
284	4832.888174
285	4830.652284
286	4829.190546
287	4827.256097
288	4824.883089
289	4822.415994
290	4819.621907
291	4816.62101
292	4814.676893
293	4811.972725
294	4810.036452
295	4807.912933
296	4807.829836
297	4806.027571
298	4803.452965
299	4803.372024
300	4801.183713
301	4797.982693
302	4794.830296
303	4794.754169
304	4794.683376
305	4791.782834
306	4791.706533
307	4790.519928
308	4788.080825
309	4785.290522
310	4782.427813
311	4780.009769
312	4777.640794
313	4777.598524
314	4774.879301
315	4773.024325
316	4770.333628
317	4766.778872
318	4765.129374
319	4761.833608
320	4759.849452
321	4759.785161
322	4757.878161
323	4757.818611
324	4754.931339
325	4752.898457
326	4751.022916
327	4749.224908
328	4747.909601
329	4745.738118
330	4743.873061
331	4742.275446
332	4738.988824
333	4738.928231
334	4737.713037
335	4735.415595
336	4733.922086
337	4732.129431
338	4730.862542
339	4726.799269
340	4724.832509
341	4723.080132
342	4720.150085
343	4720.100784
344	4718.315628
345	4715.384827
346	4713.217607
347	4711.212678
348	4708.961368
349	4706.286714
350	4703.567526
351	4701.533771
352	4699.539324
353	4698.007729
354	4696.413798
355	4694.037181
356	4692.872574
357	4692.822879
358	4691.179319
359	4691.128434
360	4690.292485
361	4688.978693
362	4686.391405
363	4684.18989
364	4681.018049
365	4679.484242
366	4674.478002
367	4672.873919
368	4670.907778
369	4669.255521
370	4667.667926
371	4666.296662
372	4663.444344
373	4661.529271
374	4660.346602
375	4658.383665
376	4657.166139
377	4655.699219
378	4653.274701
379	4650.756673
380	4648.898631
381	4647.05427
382	4645.272017
383	4642.436225
384	4641.172262
385	4640.198902
386	4637.98389
387	4636.487012
388	4635.454053
389	4632.883903
390	4631.434045
391	4629.36598
392	4628.033159
393	4625.841809
394	4624.345573
395	4622.707464
396	4621.282715
397	4619.393829
398	4616.881199
399	4615.805676
400	4614.017853
401	4611.937771
402	4609.761226
403	4608.344234
404	4605.811004
405	4604.723541
406	4602.704622
407	4599.49515
408	4598.133393
409	4598.10523
410	4596.725124
411	4594.220869
412	4592.523197
