iter	Passed	Remaining
0	66	66811
1	71	35813
2	76	25518
3	81	20302
4	86	17142
5	90	14965
6	94	13366
7	99	12303
8	103	11350
9	105	10484
10	108	9769
11	111	9215
12	114	8696
13	117	8305
14	120	7928
15	123	7613
16	126	7319
17	129	7073
18	134	6954
19	138	6787
20	141	6608
21	144	6421
22	147	6261
23	151	6143
24	154	6022
25	158	5926
26	161	5826
27	164	5723
28	168	5644
29	172	5575
30	175	5479
31	178	5397
32	181	5324
33	184	5251
34	187	5181
35	190	5104
36	193	5037
37	196	4976
38	199	4918
39	202	4863
40	206	4818
41	208	4758
42	211	4714
43	215	4671
44	217	4620
45	220	4579
46	223	4532
47	226	4497
48	230	4467
49	233	4440
50	236	4398
51	239	4362
52	242	4335
53	246	4312
54	249	4280
55	251	4242
56	254	4210
57	257	4184
58	261	4162
59	264	4137
60	267	4113
61	271	4104
62	274	4080
63	277	4058
64	280	4031
65	283	4014
66	286	3995
67	290	3977
68	293	3957
69	296	3933
70	299	3918
71	302	3899
72	305	3879
73	308	3855
74	311	3836
75	313	3812
76	316	3798
77	319	3780
78	323	3765
79	326	3751
80	329	3732
81	331	3716
82	334	3699
83	338	3689
84	341	3674
85	344	3658
86	347	3651
87	350	3637
88	353	3622
89	356	3608
90	359	3592
91	362	3579
92	365	3566
93	368	3551
94	371	3536
95	374	3521
96	377	3511
97	380	3498
98	384	3496
99	394	3547
100	397	3535
101	400	3522
102	403	3512
103	406	3501
104	409	3493
105	412	3480
106	415	3465
107	418	3457
108	421	3444
109	424	3430
110	426	3418
111	430	3412
112	433	3402
113	436	3393
114	439	3382
115	442	3373
116	446	3367
117	449	3362
118	452	3352
119	455	3342
120	458	3331
121	461	3319
122	464	3309
123	467	3301
124	470	3292
125	473	3281
126	476	3278
127	479	3269
128	482	3260
129	486	3254
130	489	3245
131	492	3235
132	494	3224
133	498	3218
134	501	3212
135	504	3203
136	507	3195
137	510	3187
138	513	3179
139	516	3171
140	519	3164
141	522	3157
142	525	3151
143	529	3146
144	532	3138
145	535	3132
146	538	3126
147	542	3121
148	545	3115
149	548	3106
150	551	3098
151	553	3090
152	557	3084
153	560	3076
154	562	3068
155	565	3060
156	568	3052
157	571	3046
158	574	3039
159	577	3033
160	580	3027
161	583	3020
162	587	3015
163	590	3008
164	593	3001
165	596	2998
166	599	2991
167	603	2987
168	605	2979
169	609	2976
170	612	2969
171	616	2967
172	618	2958
173	621	2952
174	624	2945
175	627	2940
176	630	2933
177	633	2926
178	636	2918
179	639	2911
180	641	2904
181	645	2899
182	647	2891
183	650	2885
184	653	2879
185	656	2874
186	659	2868
187	663	2864
188	666	2860
189	669	2854
190	672	2847
191	675	2841
192	678	2837
193	681	2830
194	684	2825
195	687	2820
196	690	2815
197	693	2809
198	696	2803
199	699	2797
200	702	2793
201	706	2789
202	708	2782
203	712	2778
204	714	2772
205	717	2766
206	720	2761
207	723	2756
208	726	2751
209	729	2744
210	732	2738
211	735	2732
212	738	2727
213	741	2724
214	745	2720
215	747	2714
216	750	2708
217	753	2702
218	756	2696
219	759	2693
220	763	2689
221	767	2688
222	770	2684
