,Model_Name,Set,RMSE,MAE
0,Embedding NN,Train,4095.3466798510217,2994.024177845703
1,Embedding NN,Validation,5067.329933672567,3740.459101083051
2,Embedding NN,Test,5076.048148002628,3710.4196142704295
3,Linear Regression,Train,6640.989419931366,5182.791713033773
4,Linear Regression,Validation,6792.282543589601,5297.566449241419
5,Linear Regression,Test,6665.10069521321,5123.774136612955
6,Decision Tree Regressor,Train,5420.803699232248,4180.292683235154
7,Decision Tree Regressor,Validation,6045.549079556755,4487.50546182037
8,Decision Tree Regressor,Test,5976.095145556474,4491.823271288919
9,Random Forest Regressor,Train,5032.160688909769,3912.8716373196753
10,Random Forest Regressor,Validation,5642.922439804999,4261.019589552731
11,Random Forest Regressor,Test,5549.620612494898,4184.632965084857
12,XGBoost Regressor,Train,4232.764143830847,3239.9091044702686
13,XGBoost Regressor,Validation,5060.484905925894,3818.4981433957123
14,XGBoost Regressor,Test,5061.5427941698,3773.563147004199
15,CatBoost Regressor,Train,3157.547674615474,2410.056988417941
16,CatBoost Regressor,Validation,4577.506262191016,3408.4818297200327
17,CatBoost Regressor,Test,4613.912477069653,3402.7902915195427
