iter	RMSE
0	10133.53736
1	9907.019071
2	9695.307742
3	9490.173507
4	9289.806729
5	9119.95715
6	8938.869214
7	8789.778086
8	8640.313335
9	8502.429992
10	8369.460479
11	8238.55966
12	8121.215906
13	7998.016383
14	7874.761713
15	7777.000562
16	7672.536522
17	7590.493433
18	7503.407348
19	7412.348379
20	7339.636184
21	7272.412183
22	7200.010926
23	7138.326345
24	7074.496824
25	7013.476658
26	6949.903547
27	6899.646378
28	6850.628197
29	6801.178371
30	6756.864259
31	6713.941418
32	6670.172975
33	6626.098098
34	6590.000639
35	6550.330504
36	6516.14646
37	6482.630465
38	6448.091729
39	6415.249814
40	6387.135984
41	6357.537958
42	6328.047379
43	6302.868808
44	6271.469293
45	6252.291353
46	6227.110109
47	6206.719968
48	6187.756125
49	6168.076808
50	6146.048658
51	6130.887704
52	6111.420484
53	6090.170741
54	6072.259522
55	6054.11671
56	6040.202115
57	6021.805843
58	6006.996413
59	5991.803013
60	5974.946807
61	5958.827276
62	5945.09213
63	5931.521381
64	5916.685271
65	5905.370697
66	5893.810828
67	5879.745246
68	5867.107351
69	5851.871234
70	5842.039331
71	5831.634409
72	5820.231541
73	5805.868324
74	5792.190369
75	5780.859221
76	5772.133029
77	5763.480367
78	5754.34904
79	5745.290063
80	5735.653187
81	5728.392057
82	5720.974248
83	5713.532026
84	5706.56864
85	5699.154017
86	5687.133767
87	5678.389715
88	5672.35326
89	5664.848527
90	5657.798075
91	5652.957265
92	5643.859454
93	5634.399421
94	5627.875071
95	5618.475783
96	5606.502064
97	5598.669727
98	5592.477522
99	5588.760506
100	5579.61027
101	5572.911891
102	5565.81153
103	5559.43052
104	5554.42818
105	5548.077593
106	5540.736193
107	5533.380211
108	5526.930824
109	5522.299242
110	5516.23252
111	5511.213107
112	5506.337112
113	5500.685362
114	5496.363253
115	5488.743787
116	5479.88373
117	5471.945661
118	5465.251878
119	5461.241993
120	5455.630314
121	5449.627141
122	5439.850604
123	5435.202923
124	5429.416155
125	5423.13282
126	5419.386661
127	5413.144889
128	5409.019564
129	5405.912058
130	5396.371112
131	5389.956814
132	5385.066372
133	5378.916264
134	5375.005642
135	5368.320108
136	5363.934672
137	5360.121367
138	5357.060238
139	5349.067585
140	5345.508098
141	5342.801465
142	5339.44719
143	5334.578015
144	5328.873934
145	5324.484073
146	5320.509525
147	5316.887679
148	5310.897133
149	5308.142379
150	5304.814599
151	5301.031917
152	5294.426404
153	5288.508495
154	5285.456345
155	5282.620248
156	5277.931553
157	5274.816994
158	5269.227996
159	5263.766448
160	5256.356271
161	5252.54399
162	5246.447988
163	5240.092874
164	5234.191296
165	5230.931647
166	5227.156516
167	5218.342879
168	5214.163658
169	5208.847757
170	5202.800379
171	5197.642625
172	5193.461848
173	5187.796123
174	5182.385717
175	5177.198535
176	5170.519361
177	5168.572683
178	5164.681325
179	5159.643287
180	5154.040281
181	5151.330097
182	5146.981446
183	5143.872906
184	5140.048684
185	5135.9492
186	5131.105024
187	5127.468232
188	5123.401524
189	5118.672346
190	5114.094096
191	5111.573302
192	5107.345432
193	5103.51034
194	5101.118677
195	5098.858256
196	5095.861444
197	5090.878234
198	5084.16138
199	5082.494085
200	5074.792771
201	5070.075241
202	5068.067001
203	5063.141884
204	5060.31295
