iter	Passed	Remaining
0	20	20264
1	38	19272
2	57	19266
3	77	19231
4	96	19266
5	118	19595
6	138	19704
7	157	19536
8	179	19811
9	199	19724
10	219	19741
11	238	19638
12	257	19584
13	277	19528
14	296	19473
15	314	19368
16	334	19335
17	356	19429
18	375	19398
19	396	19441
20	415	19385
21	433	19286
22	459	19516
23	480	19539
24	500	19519
25	520	19483
26	538	19423
27	558	19393
28	580	19448
29	603	19514
30	623	19494
31	644	19486
32	662	19423
33	679	19313
34	698	19268
35	717	19208
36	736	19174
37	756	19147
38	778	19180
39	797	19140
40	817	19116
41	836	19069
42	856	19060
43	876	19050
44	896	19030
45	917	19032
46	937	19011
47	958	19006
48	978	18999
49	995	18913
50	1016	18911
51	1035	18871
52	1054	18833
53	1072	18788
54	1092	18775
55	1111	18735
56	1131	18726
57	1151	18703
58	1172	18698
59	1192	18681
60	1213	18682
61	1237	18723
62	1256	18694
63	1277	18688
64	1296	18650
65	1317	18644
66	1337	18627
67	1358	18623
68	1378	18602
69	1399	18592
70	1418	18556
71	1438	18543
72	1459	18529
73	1479	18509
74	1502	18531
75	1520	18490
76	1542	18493
77	1564	18491
78	1586	18490
79	1622	18663
80	1644	18654
81	1665	18649
82	1687	18647
83	1708	18634
84	1728	18601
85	1748	18584
86	1768	18555
87	1788	18537
88	1809	18524
89	1833	18540
90	1853	18519
91	1875	18508
92	1896	18492
93	1917	18482
94	1937	18460
95	1955	18415
96	1976	18401
97	1997	18388
98	2017	18361
99	2037	18334
100	2059	18333
101	2080	18316
102	2102	18307
103	2122	18282
104	2144	18279
105	2166	18273
106	2187	18252
107	2208	18243
108	2229	18224
109	2250	18210
110	2270	18185
111	2291	18165
112	2312	18153
113	2334	18144
114	2353	18111
115	2374	18096
116	2394	18071
117	2415	18057
118	2436	18036
119	2459	18035
120	2480	18018
121	2501	18001
122	2522	17986
123	2539	17939
124	2560	17922
125	2578	17884
126	2599	17871
127	2619	17848
128	2642	17843
129	2661	17814
130	2682	17797
131	2701	17763
132	2726	17770
133	2748	17762
134	2770	17751
135	2791	17736
136	2812	17719
137	2832	17690
138	2848	17644
139	2864	17596
140	2889	17603
141	2909	17580
142	2930	17563
143	2953	17559
144	2973	17530
145	2992	17503
146	3016	17504
147	3036	17482
148	3062	17491
149	3082	17468
150	3100	17433
151	3121	17416
152	3142	17399
153	3161	17370
154	3182	17351
155	3200	17313
156	3219	17288
157	3240	17267
158	3261	17251
159	3278	17213
160	3297	17183
161	3314	17147
162	3334	17123
163	3354	17098
164	3373	17071
165	3389	17030
166	3410	17009
167	3430	16988
168	3450	16966
169	3472	16952
170	3491	16926
171	3509	16892
172	3526	16859
