iter	RMSE
0	10649.7584
1	10335.14326
2	10040.53396
3	9760.352581
4	9495.765294
5	9243.807461
6	9005.795811
7	8775.486154
8	8567.274488
9	8365.583032
10	8181.761436
11	7993.882657
12	7831.076003
13	7671.677233
14	7519.09217
15	7373.677182
16	7242.365741
17	7120.538268
18	7004.531929
19	6889.225692
20	6782.175804
21	6684.503356
22	6588.48009
23	6505.444998
24	6422.801995
25	6340.258299
26	6267.541513
27	6196.880236
28	6132.238637
29	6067.745416
30	6009.104424
31	5954.499654
32	5903.755559
33	5853.776772
34	5806.36231
35	5763.544584
36	5721.68319
37	5684.261175
38	5651.950689
39	5617.053651
40	5587.058722
41	5556.020691
42	5528.898532
43	5499.467586
44	5473.457119
45	5448.699961
46	5427.762986
47	5405.17585
48	5383.768071
49	5365.113777
50	5345.629554
51	5319.51006
52	5301.963603
53	5285.555537
54	5265.846826
55	5251.518016
56	5236.913424
57	5222.564565
58	5206.521804
59	5193.499973
60	5180.586876
61	5168.698727
62	5152.435478
63	5139.673861
64	5125.020708
65	5112.097728
66	5101.558171
67	5090.19318
68	5076.740773
69	5065.89957
70	5056.271059
71	5047.897496
72	5039.096483
73	5032.881375
74	5025.344024
75	5015.587983
76	5007.396346
77	4995.099102
78	4988.244616
79	4976.746207
80	4966.04
81	4958.652648
82	4950.021435
83	4940.841142
84	4933.536557
85	4928.380184
86	4920.648337
87	4914.155484
88	4909.071149
89	4903.305881
90	4893.921581
91	4888.272985
92	4884.315872
93	4876.203126
94	4869.652915
95	4863.406391
96	4853.942325
97	4850.318685
98	4843.795942
99	4836.837864
100	4833.758885
101	4826.724558
102	4820.247563
103	4815.987716
104	4809.308319
105	4805.335978
106	4802.646961
107	4799.376137
108	4796.429665
109	4789.27166
110	4786.788091
111	4780.682738
112	4777.429054
113	4770.875705
114	4767.300732
115	4763.543879
116	4759.024992
117	4755.314322
118	4752.218008
119	4748.342258
120	4745.974066
121	4742.913404
122	4735.246776
123	4732.127373
124	4730.251415
125	4725.854409
126	4723.347103
127	4716.830949
128	4712.869668
129	4710.440361
130	4700.548135
131	4696.048899
132	4693.012266
133	4689.818657
134	4686.872466
135	4683.278082
136	4681.690514
137	4679.57351
138	4678.58893
139	4676.533299
140	4672.939387
141	4669.105214
142	4665.13344
143	4659.290285
144	4656.500028
145	4652.176643
146	4644.749335
147	4640.76685
148	4637.456611
149	4634.046946
150	4631.786336
151	4629.433933
152	4627.479223
153	4625.48603
154	4621.439765
155	4618.430149
156	4616.156031
157	4613.310469
158	4608.18097
159	4606.688191
160	4602.714105
161	4599.931874
162	4594.057676
163	4592.931646
164	4590.815121
165	4587.822061
166	4583.898811
167	4582.110439
168	4579.807726
169	4573.999051
170	4571.68014
171	4566.618872
172	4563.25469
173	4556.016363
174	4554.339379
175	4551.35941
176	4547.462346
