iter	Passed	Remaining
0	18	18265
1	34	17251
2	52	17324
3	67	16750
4	84	16858
5	103	17109
6	120	17108
7	138	17201
8	157	17395
9	176	17478
10	194	17527
11	214	17623
12	232	17689
13	251	17705
14	272	17922
15	290	17878
16	306	17744
17	325	17755
18	344	17794
19	361	17699
20	378	17658
21	397	17657
22	413	17556
23	430	17491
24	446	17421
25	464	17384
26	481	17335
27	498	17288
28	515	17274
29	535	17328
30	557	17425
31	574	17388
32	590	17304
33	607	17252
34	625	17241
35	642	17196
36	659	17167
37	676	17127
38	692	17063
39	710	17047
40	727	17006
41	744	16984
42	762	16966
43	781	16969
44	799	16966
45	814	16900
46	832	16879
47	853	16932
48	872	16925
49	886	16850
50	905	16845
51	922	16812
52	938	16772
53	955	16743
54	973	16722
55	990	16691
56	1006	16657
57	1025	16647
58	1042	16624
59	1060	16622
60	1076	16576
61	1094	16556
62	1111	16532
63	1133	16572
64	1151	16560
65	1168	16542
66	1186	16520
67	1204	16513
68	1222	16489
69	1239	16470
70	1258	16466
71	1280	16505
72	1298	16491
73	1316	16476
74	1337	16495
75	1356	16493
76	1374	16479
77	1393	16474
78	1412	16464
79	1441	16580
80	1465	16623
81	1491	16693
82	1510	16684
83	1526	16650
84	1546	16647
85	1564	16622
86	1583	16617
87	1600	16591
88	1618	16564
89	1637	16561
90	1656	16543
91	1675	16532
92	1695	16532
93	1713	16519
94	1739	16571
95	1759	16564
96	1781	16588
97	1804	16604
98	1820	16566
99	1838	16542
100	1854	16505
101	1873	16491
102	1890	16460
103	1905	16416
104	1923	16397
105	1944	16397
106	1966	16412
107	1984	16390
108	2005	16394
109	2024	16380
110	2042	16356
111	2059	16325
112	2077	16307
113	2095	16285
114	2115	16279
115	2135	16273
116	2153	16252
117	2175	16257
118	2194	16248
119	2213	16233
120	2229	16197
121	2245	16161
122	2264	16143
123	2281	16115
124	2301	16108
125	2321	16104
126	2339	16078
127	2357	16062
128	2379	16069
129	2397	16045
130	2416	16028
131	2432	15994
132	2448	15961
133	2464	15924
134	2482	15904
135	2501	15889
136	2519	15868
137	2537	15852
138	2555	15828
139	2574	15814
140	2590	15780
141	2605	15746
142	2629	15755
143	2648	15742
144	2663	15708
145	2684	15704
146	2703	15688
147	2721	15666
148	2735	15625
149	2756	15619
150	2772	15587
151	2789	15564
152	2807	15540
153	2823	15509
154	2840	15485
155	2858	15466
156	2876	15444
157	2895	15428
158	2914	15417
159	2934	15407
160	2953	15392
161	2971	15370
162	2988	15344
163	3003	15309
164	3017	15272
165	3034	15244
166	3049	15211
167	3068	15198
168	3087	15183
169	3107	15171
170	3126	15154
171	3142	15129
